Question,Ideal_Answer,Local_Answer_RAG,Local_Time,Cloud_Answer_RAG,Cloud_Time,Local_Accuracy_%,Cloud_Accuracy_%
ما هي الآلية التي يتم بموجبها التعامل مع الحالات التي يتعذر فيها التبميغ وفقًا للمادة 34؟,وفقًا لأحكام المادة 34.,"لا توجد معلومات قانونية.

(تتم ترجمة النص التشريعي إلى اللغة العربية)

Note: Please use the provided statutory text to answer the question, and your response should be based solely on that text. If there is no information in the statute related to th",14.65,لا توجد معلومات قانونية.,0.26,0.0,0.0
هل يتم تطبيق ضمان العيب في البيوع الإدارية؟,نعم، إذا كانت بالمزاد.,"لا توجد معلومات قانونية.

يرجى ملاحظة أن النص التشريعي المرفق هو جزء فقط من القانون العراقي، ولا يشمل جميع أحكام القانون. لذا، لا يمكننا أن نستدل على أي إجابة بدون وجود نص تشريعي مباشر. 

لذلك، الإجابة هي ""لا توجد معلومات قانونية"". 

أما بالنسبة для ",29.47,نعم، يتم تطبيق ضمان العيب في البيوع الإدارية إذا كانت بالمزاد.,0.24,0.0,53.07810306549072
متى تكون الكفالة صحيحة؟,إذا كان الالتزام المكفول صحيحاً.,"لا توجد معلومات قانونية.

(تجاوب) 

لم أجد أي دليل على أن الكفالة صحيحة في النص التشريعي المرفق. النص التشريعي لا يتطرق للكفالة على الإطلاق. لذلك، لا توجد معلومات قانونية حول متى تكون الكفالة صحيحة. 

الرد:

هذا هو الاستنتاج الصحيح. النص التشرييلي ال",22.17,لا توجد معلومات قانونية.,0.27,0.0,0.0
في أي الأوضاع يُطبق النفاذ المعجل بغير كفالة؟,في الأحكام الصادرة في المواد المستعجمة وأحكام النفقة أو إجرة الحضانة أو الرضاع أو المسكن أو تسميم الصغير أو إعالته.,"لا توجد معلومات قانونية.

(ملاحظة: من الضروري أن تكون الإجابة دقيقة ومتعلقة مباشرة بنص التشريع.) 

Please provide a precise answer based solely on the provided legislative text. If there is no information related to the question, write ""No legal info",18.92,"أحوال تطبيق النفاذ المعجل بغير كفالة هي:
- إجراء الإصلاحات العاجلة.
- تقرير نفقة مؤقتة أو نفقة واجبة.
- أداء أجور الخدم والعاملين لدى القطاع الخاص أو المشترك.",0.43,0.0,48.110538721084595
ما هو الغرض من تفرض العقوبات المشار إليها في البنود؟,تكمون المخالفمة، متعلقمة بالعممل عمالا.,"_____________________________________________________________________

(النص التشريعي)

الغرض من تفرض العقوبات المشار إليها في البنود هو تكمون المخالفات متعلقة بالعمل العمومي.

ملاحظة: لا توجد معلومات قانونية مباشرة ترد على السؤال. لذا، نستند إلى تفس",35.53,تفرض العقوبات المشار إليها في البنود ( أ– ب– ج ) من قانون العمل لتكمون المخالفمة المتعلقة بالعممل عمالا بنص المادة 16 من قانون العمل.,0.47,0.0,56.776416301727295
هل يجوز تنفيذ الأحكام القضائية قبل إبلاغ الخصم؟,لا,"لا توجد معلومات قانونية.

(لم أجد أي مادة تشريعيه تشرح是否 يمكن تنفيذ الأحكام القضائية قبل إبلاغ الخصم.) 

Note: The question is asking whether it's possible to execute a judicial ruling before informing the opposing party. I searched through the provi",11.51,لا توجد معلومات قانونية.,0.19,0.0,0.0
هل يبقى التزام المناب صحيحاً إذا كان التزام المنيب باطلاً؟,نعم، ما لم يوجد اتفاق بغيره.,"لا توجد معلومات قانونية.

ملاحظة: لا يمكننا أن نستشهد بالنص التشريعي إلا فيما هو مطابق لما هو وارد في السؤال. لذا، يجب أن تكون الإجابة موجزة وغير مبالغ فيها. 

الجواب:

نظرًا لأن المادة 154 تقول ""إذا تعهد شخص بأن يجعل الغير يلتزم بأمر""، فنحن نرى أن ا",21.65,نعم، يبقى التزام المناب صحيحاً حتى إذا كان التزام المنيب باطلاً.,0.38,0.0,42.79446601867676
ما هي الشروط المطلوبة للطعن بقرار النقل والترميم؟,الطعن في الحكم المنيي لمخصومة.,"لا توجد معلومات قانونية. (since the relevant articles do not specify any conditions for appealing a decision on relocation and renovation) 

Note that I've used the provided statutory text to answer your question, focusing only on the specified artic",9.53,لا توجد معلومات قانونية.,0.15,0.0,0.0
كيف يتم الترقين وفقاً للمادة 993؟,يتم الترقين بمفعول العقود أو الأحكام.,"لا توجد معلومات قانونية.

رقم المادة 993 غير موجود في النص التشريعي المرفق. لذلك لا يمكننا تقديم أي إجابة. 

إذا كنت بحاجة إلى مساعدة أو تفسير لما هو جديد، يرجى الاتصال بنا. نعدل ونحن هنا لمساعدتك!",6.92,لا توجد معلومات قانونية.,0.23,0.0,0.0
هل يجوز تنفيذ الحكم المشمول بالنفاذ المعجل قبل إعلام الخصوم؟,نعم، إلا إذا نص القانون على خلاف ذلك.,"لا توجد معلومات قانونية.

(تم ترجمة النص التشريعي من العربية إلى الإنجليزية)

Note: The question is asking whether it's possible to execute a judgment that has been stayed without informing the parties involved, and the answer should be based solely ",26.17,نعم، يجوز تنفيذ الحكم المشمول بالنفاذ المعجل قبل إعلام الخصوم، وذلك وفقًا للمادة 189 التي تنص على أن لرئيس التنفيذ أن يقرر انقاص ميعاد الإخطار أو السير في التنفيذ فورًا في المواد المستعجمة أو في الأحوال التي يكون فيها التأخير ضارًا.,0.42,0.0,53.394341468811035
ما هو مقدار حوالة الحق الذي يمكن تجاوزه؟,مايكون منه قابلا لحجز.,"لا توجد معلومات قانونية.

Note that the text is in Arabic and it's difficult to translate accurately without proper context. However, based on the provided text, I couldn't find any information related to the question about the amount of legal refere",47.61,لا توجد معلومات قانونية.,0.45,0.0,0.0
ما هو القانون المطبق على الالتزام بالنفقة بين الأقارب؟,قانون المدين بها.,"2023/02/15 14:00:00 

المرجع: قانون الأسرة في جمهورية مصر العربية، المادتان 194, 513, 514. 

النسبة: 100% 

النوع: سؤال قانوني 

الجهات: قانون الأسرة في جمهورية مصر العربية 

النسبة: 100% 

النوع: سؤال قانوني 

الجهات: قانون الأسرة في جمهورية مصر الع",44.3,لا توجد معلومات قانونية,0.15,41.95950627326965,0.0
ما هي الطرق التي تسقط بها النفقة المفروضة قضاء أو رضاء؟,الأداء أو الإبراء.,"لا توجد معلومات قانونية.

ملاحظة: لا يمكننا أن نستشهد بأي نص تشريعي آخر سوى النص المرفق. يجب أن تكون الإجابة دقيقة وغير مضللة. 

Please provide a precise answer based solely on the provided legislative text. If there is no information related to the ",21.12,لا توجد معلومات قانونية.,0.26,0.0,0.0
ما هي المادة 15 من النص التشريعي؟,لم ي 提د النص التفاصيل.,"مateria 15 لا توجد معلومات قانونية.

(تجاهل) 

Note: The legislative text is in Arabic, and the answer should be written in English. If there is no information on a specific article or section, write ""No legal information"". 

The provided legislative",10.26,المادة 15: / / مع مراعاة أحكام,0.36,0.0,28.509381413459778
من يقوم بتنفيذ المادة 413؟,مأمور التنفيذ.,"مأمور التنفيذ.

رقم الرد: 1


2023-02-15 14:30:00

هوامش:

* لا توجد معلومات قانونية.
* يجب أن تكون الإجابة موجزة و مباشرة.
* يجب أن يكون جوابك دقيقاً ويستند إلى النص التشريعي فقط. 

النص التشريعي هو المادة 412 والماطين 413 وال435. 

لا توجد معلومات ",40.52,مأمور التنفيذ.,0.23,0.0,100.0
